t, rx, ry, rz, vx, vy, vz
1, 7436.44, 96.0123, 0, -0.0720661, 9.60092, 0
2, 7435.36, 192.015, 0, -0.14411, 9.59952, 0
3, 7433.56, 288, 0, -0.21611, 9.5972, 0
4, 7431.04, 383.956, 0, -0.288044, 9.59395, 0
5, 7427.8, 479.876, 0, -0.35989, 9.58977, 0
6, 7423.84, 575.748, 0, -0.431626, 9.58467, 0
7, 7419.16, 671.566, 0, -0.503231, 9.57865, 0
8, 7413.78, 767.319, 0, -0.574682, 9.57172, 0
9, 7407.67, 862.997, 0, -0.64596, 9.56388, 0
10, 7400.86, 958.593, 0, -0.717043, 9.55514, 0
11, 7393.33, 1054.1, 0, -0.787909, 9.5455, 0
12, 7385.1, 1149.5, 0, -0.858539, 9.53497, 0
13, 7376.16, 1244.79, 0, -0.928912, 9.52355, 0
14, 7366.52, 1339.97, 0, -0.999008, 9.51126, 0
15, 7356.18, 1435.02, 0, -1.06881, 9.49811, 0
16, 7345.15, 1529.93, 0, -1.13829, 9.48409, 0
17, 7333.42, 1624.69, 0, -1.20744, 9.46923, 0
18, 7321, 1719.31, 0, -1.27624, 9.45354, 0
19, 7307.89, 1813.76, 0, -1.34466, 9.43701, 0
20, 7294.11, 1908.05, 0, -1.4127, 9.41967, 0
21, 7279.64, 2002.15, 0, -1.48033, 9.40152, 0
22, 7264.5, 2096.07, 0, -1.54754, 9.38259, 0
23, 7248.69, 2189.8, 0, -1.61431, 9.36287, 0
24, 7232.22, 2283.33, 0, -1.68062, 9.34238, 0
25, 7215.08, 2376.65, 0, -1.74647, 9.32115, 0
26, 7197.29, 2469.75, 0, -1.81183, 9.29917, 0
27, 7178.85, 2562.63, 0, -1.87669, 9.27646, 0
28, 7159.76, 2655.28, 0, -1.94104, 9.25305, 0
29, 7140.03, 2747.69, 0, -2.00486, 9.22893, 0
30, 7119.66, 2839.85, 0, -2.06815, 9.20414, 0
31, 7098.67, 2931.77, 0, -2.13088, 9.17867, 0
32, 7077.05, 3023.42, 0, -2.19305, 9.15255, 0
33, 7054.81, 3114.82, 0, -2.25466, 9.1258, 0
34, 7031.96, 3205.94, 0, -2.31567, 9.09842, 0
35, 7008.5, 3296.78, 0, -2.3761, 9.07043, 0
36, 6984.44, 3387.35, 0, -2.43592, 9.04186, 0
37, 6959.78, 3477.62, 0, -2.49513, 9.01271, 0
38, 6934.53, 3567.6, 0, -2.55372, 8.983, 0
39, 6908.71, 3657.28, 0, -2.61169, 8.95275, 0
40, 6882.3, 3746.65, 0, -2.66902, 8.92197, 0
41, 6855.33, 3835.71, 0, -2.72571, 8.89068, 0
42, 6827.79, 3924.46, 0, -2.78176, 8.85889, 0
43, 6799.7, 4012.89, 0, -2.83715, 8.82663, 0
44, 6771.05, 4100.99, 0, -2.89188, 8.7939, 0
45, 6741.86, 4188.77, 0, -2.94596, 8.76073, 0
46, 6712.13, 4276.21, 0, -2.99937, 8.72713, 0
47, 6681.88, 4363.31, 0, -3.05211, 8.69311, 0
48, 6651.09, 4450.07, 0, -3.10417, 8.6587, 0
49, 6619.79, 4536.48, 0, -3.15556, 8.6239, 0
50, 6587.98, 4622.54, 0, -3.20628, 8.58873, 0
51, 6555.67, 4708.25, 0, -3.25632, 8.55321, 0
52, 6522.86, 4793.61, 0, -3.30567, 8.51735, 0
53, 6489.56, 4878.6, 0, -3.35435, 8.48117, 0
54, 6455.78, 4963.23, 0, -3.40234, 8.44468, 0
55, 6421.52, 5047.49, 0, -3.44966, 8.4079, 0
56, 6386.78, 5131.39, 0, -3.49629, 8.37084, 0
57, 6351.59, 5214.91, 0, -3.54224, 8.33352, 0
58, 6315.94, 5298.06, 0, -3.58751, 8.29595, 0
59, 6279.84, 5380.83, 0, -3.63211, 8.25814, 0
60, 6243.3, 5463.22, 0, -3.67603, 8.22011, 0
61, 6206.33, 5545.23, 0, -3.71928, 8.18187, 0
62, 6168.92, 5626.86, 0, -3.76185, 8.14343, 0
63, 6131.09, 5708.1, 0, -3.80376, 8.10482, 0
64, 6092.85, 5788.95, 0, -3.845, 8.06603, 0
65, 6054.19, 5869.42, 0, -3.88558, 8.02708, 0
66, 6015.14, 5949.49, 0, -3.9255, 7.98799, 0
67, 5975.68, 6029.18, 0, -3.96476, 7.94877, 0
68, 5935.84, 6108.47, 0, -4.00337, 7.90942, 0
69, 5895.62, 6187.36, 0, -4.04134, 7.86997, 0
70, 5855.02, 6265.87, 0, -4.07866, 7.83041, 0
71, 5814.05, 6343.97, 0, -4.11535, 7.79077, 0
72, 5772.71, 6421.68, 0, -4.1514, 7.75105, 0
73, 5731.02, 6498.99, 0, -4.18683, 7.71126, 0
74, 5688.98, 6575.91, 0, -4.22163, 7.67142, 0
75, 5646.59, 6652.42, 0, -4.25581, 7.63153, 0
76, 5603.87, 6728.54, 0, -4.28938, 7.5916, 0
77, 5560.81, 6804.25, 0, -4.32235, 7.55164, 0
78, 5517.42, 6879.57, 0, -4.35471, 7.51167, 0
79, 5473.71, 6954.49, 0, -4.38648, 7.47168, 0
80, 5429.69, 7029, 0, -4.41766, 7.43169, 0
81, 5385.36, 7103.12, 0, -4.44826, 7.39171, 0
82, 5340.73, 7176.84, 0, -4.47828, 7.35175, 0
83, 5295.8, 7250.16, 0, -4.50773, 7.31181, 0
84, 5250.58, 7323.07, 0, -4.53661, 7.27189, 0
