t, rx, ry, rz, vx, vy, vz
1, 6770.79, 76.7603, 0, -0.0869196, 7.67571, 0
2, 6769.48, 153.511, 0, -0.173828, 7.67423, 0
3, 6767.31, 230.242, 0, -0.260714, 7.67176, 0
4, 6764.27, 306.943, 0, -0.347566, 7.66832, 0
5, 6760.36, 383.605, 0, -0.434374, 7.66388, 0
6, 6755.58, 460.217, 0, -0.521126, 7.65847, 0
7, 6749.94, 536.771, 0, -0.60781, 7.65207, 0
8, 6743.43, 613.255, 0, -0.694417, 7.64469, 0
9, 6736.05, 689.661, 0, -0.780934, 7.63632, 0
10, 6727.81, 765.979, 0, -0.86735, 7.62698, 0
11, 6718.7, 842.198, 0, -0.953654, 7.61666, 0
12, 6708.74, 918.308, 0, -1.03984, 7.60536, 0
13, 6697.91, 994.302, 0, -1.12588, 7.59308, 0
14, 6686.22, 1070.17, 0, -1.21179, 7.57983, 0
15, 6673.67, 1145.89, 0, -1.29753, 7.56561, 0
16, 6660.27, 1221.48, 0, -1.38311, 7.55042, 0
17, 6646.01, 1296.9, 0, -1.46851, 7.53425, 0
18, 6630.9, 1372.16, 0, -1.55373, 7.51712, 0
19, 6614.94, 1447.24, 0, -1.63874, 7.49903, 0
20, 6598.12, 1522.14, 0, -1.72354, 7.47997, 0
21, 6580.47, 1596.84, 0, -1.80812, 7.45995, 0
22, 6561.96, 1671.33, 0, -1.89247, 7.43898, 0
23, 6542.62, 1745.61, 0, -1.97657, 7.41705, 0
24, 6522.43, 1819.67, 0, -2.06042, 7.39417, 0
25, 6501.41, 1893.49, 0, -2.144, 7.37034, 0
26, 6479.55, 1967.07, 0, -2.22731, 7.34556, 0
27, 6456.86, 2040.4, 0, -2.31033, 7.31985, 0
28, 6433.35, 2113.47, 0, -2.39305, 7.29319, 0
29, 6409, 2186.26, 0, -2.47546, 7.2656, 0
30, 6383.84, 2258.78, 0, -2.55756, 7.23707, 0
31, 6357.85, 2331, 0, -2.63932, 7.20762, 0
32, 6331.05, 2402.92, 0, -2.72075, 7.17724, 0
33, 6303.44, 2474.54, 0, -2.80183, 7.14594, 0
34, 6275.02, 2545.84, 0, -2.88254, 7.11372, 0
35, 6245.79, 2616.81, 0, -2.96289, 7.0806, 0
36, 6215.76, 2687.45, 0, -3.04285, 7.04656, 0
37, 6184.94, 2757.74, 0, -3.12242, 7.01162, 0
38, 6153.32, 2827.68, 0, -3.20159, 6.97578, 0
39, 6120.91, 2897.25, 0, -3.28034, 6.93905, 0
40, 6087.71, 2966.46, 0, -3.35868, 6.90142, 0
